competition_id,origin,season_id,rank_rps_difference,points_crps_difference
eng-league-one,MW19,2025-2026,0.0021051267119565256,0.047084680833330984
eng-league-one,MW30,2015-2016,0.0011192843568840552,0.051658588333330285
eng-league-one,MW30,2016-2017,-0.00043841386775362467,-0.07472822750000094
eng-league-one,MW30,2017-2018,-0.0004016342391304333,-0.04128779791666732
eng-league-one,MW30,2018-2019,-0.00020162692028985354,-0.03711884583333164
eng-league-one,MW30,2021-2022,-0.0003921809057971045,-0.1745679820833352
eng-league-one,MW30,2022-2023,-2.2156068840460197e-06,-0.02889755208333461
eng-league-one,MW30,2023-2024,-0.0004066855072463748,-0.09060900249999915
eng-league-one,MW30,2024-2025,-1.6862463768112203e-05,-0.07906621291666523
eng-league-one,MW30,2025-2026,0.0013475069836956363,0.006642070416668422
eng-league-two,preseason,2015-2016,0.0024104563405797116,0.05133049625000439
eng-league-two,preseason,2016-2017,-0.0015926568750000137,-0.03134293958333795
eng-league-two,preseason,2017-2018,0.0001728434510869549,-0.04876031666666599
eng-league-two,preseason,2018-2019,3.067217391306519e-05,0.0278621595833356
eng-league-two,preseason,2021-2022,-0.0019315891304347635,-0.2486023554166621
eng-league-two,preseason,2022-2023,0.0018874140579710052,0.12201108583333355
eng-league-two,preseason,2023-2024,0.0033431711594202867,0.12029501083332915
eng-league-two,preseason,2024-2025,4.328431159420753e-05,0.04272580500000219
eng-league-two,preseason,2025-2026,-0.0004534056068840542,-0.20344412333333092
eng-league-two,MW6,2015-2016,0.0003173777445652284,-0.07790919333333403
eng-league-two,MW6,2016-2017,-6.132507246376252e-05,0.031194009166661856
eng-league-two,MW6,2017-2018,-0.001205944710144925,-0.17081291375000238
eng-league-two,MW6,2018-2019,-0.0009074893840579787,0.002310731666666621
eng-league-two,MW6,2021-2022,-0.000587446277173892,-0.19052322208333483
eng-league-two,MW6,2022-2023,0.0019410335778985684,0.0792548275000024
eng-league-two,MW6,2023-2024,0.0012792206884057876,0.057086081250000364
eng-league-two,MW6,2024-2025,-0.0016434730163043506,-0.037115038749998906
eng-league-two,MW6,2025-2026,1.161002717391778e-05,-0.14600487374999951
eng-league-two,MW12,2015-2016,0.000556466847826084,-0.11175696958333309
eng-league-two,MW12,2016-2017,-0.001011371295289852,-0.09209482458333797
eng-league-two,MW12,2017-2018,0.00015743784420291446,-0.019604309166666927
eng-league-two,MW12,2018-2019,-0.0005732581521738957,0.0622272220833345
eng-league-two,MW12,2021-2022,-0.0010318295018116013,-0.20092337916666714
eng-league-two,MW12,2022-2023,0.001354269347826088,0.10034017958333469
eng-league-two,MW12,2023-2024,0.0012776593115942083,0.018370941250001566
eng-league-two,MW12,2024-2025,-0.0007616646376811619,0.008859988333336141
eng-league-two,MW12,2025-2026,-0.001205813876811578,-0.15828285375000228
eng-league-two,MW19,2015-2016,-0.00034036536231883945,-0.16472635166666671
eng-league-two,MW19,2016-2017,0.0007723666213767974,-0.002982012916663936
eng-league-two,MW19,2017-2018,4.7123224637675834e-05,-0.05938806208333483
eng-league-two,MW19,2018-2019,-0.00023867375905797547,0.01253612333333474
eng-league-two,MW19,2021-2022,0.00035092459239128584,-0.036088071666664424
eng-league-two,MW19,2022-2023,-0.0005687522373188414,-0.0024882341666682315
eng-league-two,MW19,2023-2024,0.00011033715579710872,0.008247778333330699
eng-league-two,MW19,2024-2025,2.7113550724649816e-05,0.026487215833335343
eng-league-two,MW19,2025-2026,-9.652605978260002e-05,-0.11113369916667
eng-league-two,MW30,2015-2016,-0.00011233290760870303,-0.09521960333333475
eng-league-two,MW30,2016-2017,-0.00044518595108694554,0.02442603916666743
eng-league-two,MW30,2017-2018,0.0006142115579710208,0.019163872916668923
